#elements in 0, #edges,# mistakes,alpha 0, List of elements in 0,
85, 536, 159, -1.1317800021888842, 1152 2306 390 1926 1287 1418 909 1427 2069 149 1558 409 1689 1819 1821 1182 1950 2335 1697 1825 805 1574 2855 425 809 298 2476 687 48 1457 2868 1717 1719 570 1981 574 2112 2881 1601 322 2758 71 2632 1357 720 1233 1874 2517 1366 2646 343 1624 1497 2009 2522 1628 2141 1247 1375 2655 1760 2144 1504 1506 995 2019 2148 1770 1386 1515 623 624 2160 1904 2288 2672 2161 369 2290 1910 886 633 1403 1275 894 ,,
3, 4, 1, -0.6706719891559407, 343 44 909 ,,
33, 126, 37, -0.9474923607025825, 1793 2113 1987 1604 261 2567 588 396 398 2768 1874 915 2580 855 409 2141 2333 2334 995 931 996 2791 2216 876 1263 176 1587 2549 1910 1142 440 1402 2559 ,,
3, 4, 1, -0.6706719891559407, 503 1320 2141 ,,
3, 4, 1, -0.6706719891559407, 48 2004 2141 ,,
27, 86, 25, -0.767252357652554, 2112 1730 1539 839 396 588 77 855 2584 1944 2716 2396 2015 2719 2592 1057 2148 2406 810 1770 46 1137 2869 1142 247 894 767 ,,
3, 4, 1, -0.6706719891559407, 2166 1883 2141 ,,
8, 20, 4, -0.645404442316693, 2625 1489 1011 2517 247 2183 2141 1471 ,,
3, 4, 1, -0.6706719891559407, 1009 2161 2141 ,,
9, 20, 4, -0.9543798858200282, 2513 2370 2311 169 1770 1050 2139 187 2475 ,,
8, 16, 2, -0.9167816203859176, 1937 1473 2709 2396 428 2141 2845 1726 ,,
14, 44, 12, -0.7867416409768335, 193 1378 2884 2567 680 1549 2895 48 1910 758 2518 2299 286 1951 ,,
9, 20, 2, -0.968549437063929, 1760 1713 2564 2645 1366 2518 937 1770 1549 ,,
29, 108, 33, -0.7901902312514716, 963 68 1094 2183 2571 2891 2895 1552 915 917 1880 220 540 2657 1250 2723 2405 1255 1320 110 1262 1264 1842 1779 1142 440 762 2874 2171 ,,
3, 4, 1, -0.6706719891559407, 436 460 2141 ,,
8, 16, 2, -0.9318217478010357, 1808 147 388 392 617 1690 2141 2719 ,,
12, 28, 3, -0.9496201022603955, 2112 720 1187 1908 1749 2053 393 778 44 285 109 623 ,,
11, 28, 5, -0.9645762573275526, 2433 401 1558 2232 1096 1770 1130 925 749 270 2223 ,,
3, 4, 1, -0.6706719891559407, 1098 2141 2623 ,,
3, 4, 1, -0.6706719891559407, 585 1770 187 ,,
18, 46, 7, -0.9063194318056353, 1184 1766 1033 1066 1580 1103 2707 1140 918 598 2615 409 1465 698 2811 1372 2716 2141 ,,
8, 16, 2, -0.9167816203859176, 1170 915 343 952 456 1770 1084 1132 ,,
3, 4, 1, -0.6706719891559407, 1770 1053 1727 ,,
3, 4, 1, -0.6706719891559407, 1112 2108 2141 ,,
3, 4, 1, -0.6706719891559407, 2133 2614 1770 ,,
8, 20, 4, -0.7961281603659797, 2723 1604 1108 235 2364 1278 2895 2687 ,,
3, 4, 1, -0.6706719891559407, 1681 2869 2141 ,,
25, 78, 21, -0.8478878861889118, 1984 1605 456 2825 75 2382 2190 848 529 149 2778 2655 1119 2531 1764 1130 48 1008 2610 1587 2228 1910 182 311 571 ,,
3, 4, 1, -0.6706719891559407, 883 2723 1848 ,,
28, 102, 13, -1.0131938933788844, 448 1475 966 2311 1223 1355 2699 588 1869 2390 1239 793 2843 284 477 925 1506 1316 2473 1389 1838 1141 2360 2681 2553 830 1022 62 ,,
3, 4, 1, -0.6706719891559407, 2386 44 47 ,,
3, 4, 1, -0.6706719891559407, 2231 729 2141 ,,
9, 20, 4, -0.8657819437607011, 1168 529 1139 2455 120 1464 1770 540 2814 ,,
3, 4, 1, -0.6706719891559407, 976 33 2141 ,,
3, 4, 1, -0.6706719891559407, 2723 1462 1145 ,,
14, 46, 12, -0.8286871481148198, 1 706 2148 454 2726 1837 1038 2094 1300 2517 2038 1690 2842 1885 ,,
3, 4, 1, -0.6706719891559407, 1240 2345 44 ,,
3, 4, 1, -0.6706719891559407, 1208 2141 1151 ,,
26, 104, 33, -0.9970313717929943, 193 2370 195 326 1736 2443 2254 2768 82 1874 1362 658 914 915 88 2144 1571 1001 1769 1262 182 378 250 189 254 2239 ,,
